SequenceName	ClusterNumber
SRR8697367	9
SRR8697353	9
SRR8068061	9
SRR8068062	9
SRR3925750	9
ERR1938072	9
SRR3925763	9
SRR8697426	9
SRR8697427	9
ERR1938068	9
ERR1938087	9
SRR5239771	9
SRR5239774	9
ERR1938051	9
ERR1938084	9
SRR12825255	9
SRR5239758	9
SRR5239770	9
SRR3925760	9
SRR5459192	9
SRR5459193	9
SRR12704638	10
SRR8068017	10
SRR8068021	10
SRR8068049	10
SRR8697296	10
SRR8068018	10
ERR1938074	11
ERR1938076	11
ERR1938075	11
ERR1938073	11
SRR12825266	11
SRR8068014	-1
SRR12825215	12
SRR12825258	12
SRR8697445	12
SRR8697448	-1
SRR14844979	13
SRR8068056	13
SRR8068046	13
SRR12825195	13
SRR12825196	13
SRR8697419	13
ERR1938082	13
ERR1938083	13
ERR1938066	13
ERR1938067	13
ERR1938080	13
SRR5239766	13
SRR5239767	13
SRR5239768	13
SRR5239769	13
SRR3925747	13
SRR8697400	-1
SRR8068043	14
SRR8068050	14
SRR8068013	14
SRR8068042	14
SRR12825234	14
SRR3925739	15
SRR3925741	15
SRR3925735	16
SRR3925745	16
SRR8697436	16
SRR8697378	16
SRR8697371	16
SRR8697431	16
ERR1938063	16
ERR1938089	16
SRR10717941	16
ERR1938059	16
SRR12825241	16
SRR8697395	16
ERR1938056	16
SRR8697300	16
SRR8697500	16
SRR3925756	16
SRR8697402	16
SRR8697429	16
SRR8697503	16
SRR12825264	-1
SRR8697354	17
SRR8697394	17
SRR8697304	17
SRR8697303	17
SRR8697453	17
SRR8697376	17
SRR8068030	17
SRR8068034	17
SRR12825217	17
SRR12825219	17
HSC072	17
HSC075	17
HSC096	17
HSC071	17
HSC052	17
ERR4669782	17
SRR8068036	17
SRR8068040	17
HSC066	17
SRR8068033	17
SRR12825239	17
ERR1938060	17
SRR5239775	17
SRR5239776	17
ERR1938054	17
SRR12825257	17
HSC003	-1
SRR8697381	18
SRR8697478	18
SRR8697349	18
SRR8697299	18
SRR8697268	18
SRR8697495	18
SRR8697360	18
SRR8697421	18
SRR8697434	18
SRR8697386	18
SRR8697284	18
SRR8697457	18
SRR8697411	18
SRR5239777	18
SRR8697271	18
SRR8697290	18
SRR8697390	18
SRR8697317	18
SRR8697451	18
SRR5239783	18
SRR5239784	18
SRR5239781	18
SRR5239782	18
SRR10725598	18
ERR1938043	18
ERR1938070	18
ERR1938069	18
ERR1938071	18
ERR1938078	18
ERR1938088	18
HSC086	18
SRR8697507	18
SRR8697508	18
SRR8697316	18
SRR8697282	18
SRR8697468	18
SRR8697452	18
SRR8697276	18
SRR8697377	18
SRR8697498	18
SRR8697432	18
SRR8697345	18
SRR8697416	18
SRR8697380	18
SRR8697275	18
SRR8697372	18
SRR8697439	18
SRR8697469	18
SRR8697405	18
SRR8697379	18
SRR8697321	18
SRR8697308	18
SRR8697305	18
SRR8697428	18
SRR8697424	18
SRR3925734	18
SRR3925752	18
SRR3925754	18
SRR3925755	18
SRR5239779	18
SRR5239780	18
SRR5239778	18
SRR11235423	18
SRR11235424	18
HSC027	18
SRR12825252	18
SRR12704634	19
SRR12704635	19
SRR8697335	19
SRR3925769	19
SRR12825238	19
SRR12825229	19
SRR12825230	19
SRR12825263	19
SRR8068045	19
SRR8697280	20
SRR8697356	20
SRR8697347	20
SRR8697267	20
SRR8697403	20
SRR8697502	20
SRR8697471	20
SRR8697273	20
SRR8697440	20
SRR8697392	20
SRR14844978	20
SRR12825260	20
SRR3925748	20
SRR12825242	20
SRR12825251	20
SRR12825256	20
SRR2982715	20
SRR12825243	20
SRR12825250	20
SRR12825265	20
SRR8068051	20
SRR10725597	20
ERR4669795	20
ERR4669784	20
ERR4669789	20
SRR12704637	20
SRR2982717	20
SRR5239764	20
ERR1938062	20
SRR8697307	21
SRR8697491	21
SRR8697337	21
SRR8697404	21
SRR8697438	21
SRR8697293	21
SRR8697393	21
SRR8697338	21
SRR8697430	21
SRR8697476	21
SRR8697344	21
SRR8068012	21
SRR8068019	21
SRR8068032	21
SRR8068038	21
SRR8068028	21
SRR8697382	22
SRR8697370	22
SRR8697455	22
SRR8697363	22
SRR8697325	22
SRR8697481	22
SRR8697369	22
SRR8697355	22
SRR8697501	22
SRR8697359	22
SRR8697322	22
SRR8697310	22
SRR8697482	22
SRR8697328	22
SRR8697435	22
SRR8697332	22
SRR8697323	22
SRR8697467	22
SRR8697339	22
SRR8697309	22
SRR8697399	22
SRR8697292	22
SRR8697294	22
SRR8697311	22
SRR8068024	22
ERR1938048	22
ERR1938052	22
SRR12825197	23
SRR12825198	23
SRR12825200	23
ERR1938058	23
ERR1938081	23
HSC101	23
HSC103	23
SRR8697365	24
SRR8697442	24
SRR8697281	24
SRR8697319	24
SRR8697463	24
SRR8697326	24
SRR8697331	24
SRR8697449	24
SRR8697279	24
SRR8697398	24
SRR8697286	24
SRR8697497	24
SRR8697408	24
SRR8697343	24
SRR8697492	24
SRR3925771	24
SRR8697443	24
SRR8697278	24
ERR1938086	24
SRR10725599	24
SRR10725596	24
SRR11235429	24
HSC031	24
HSC073	24
SRR8068029	24
SRR8953803	24
SRR14844980	24
SRR12825261	24
SRR12825262	24
SRR12825227	24
SRR12825228	24
SRR12825259	24
SRR12825246	24
SRR3925737	24
SRR3925772	24
SRR3925738	24
SRR3925736	24
ERR1938044	24
SRR5239765	24
SRR3925742	24
SRR3925732	24
SRR3925743	24
SRR12825254	24
SRR8697412	24
ERR1938057	24
SRR12825223	24
SRR12825224	24
SRR12825226	24
SRR12825225	24
SRR12825220	24
SRR12825222	24
SRR12825205	25
SRR12825208	25
SRR12825209	25
SRR12825201	25
SRR12825207	25
SRR12825204	25
SRR12825203	25
SRR12825206	25
SRR12825202	25
SRR8697483	26
SRR8697470	26
SRR8697352	26
SRR8697350	26
SRR8241571	27
SRR8241570	27
SRR8241569	27
SRR8697407	27
SRR8068025	27
SRR8068060	27
SRR12825199	27
SRR12825245	27
SRR12825249	27
