SequenceName	ClusterNumber
SRR3925754	14
SRR3925752	14
SRR3925734	14
SRR8697405	14
SRR8697451	14
SRR8697317	14
SRR8697390	14
SRR8697428	14
SRR8697305	14
SRR8697308	14
ERR1938088	14
ERR1938043	14
SRR8697321	14
SRR8697379	14
SRR8697469	14
SRR8697345	14
ERR1938078	14
SRR10725598	14
SRR8697290	14
SRR8697271	14
SRR5239777	14
ERR1938071	14
SRR8697439	14
SRR8697372	14
SRR8697275	14
SRR8697432	14
SRR8697498	14
ERR1938069	14
ERR1938070	14
SRR5239782	14
SRR5239781	14
SRR5239784	14
SRR5239783	14
SRR8697411	14
SRR8697457	14
SRR8697380	14
SRR8697416	14
SRR8697377	14
SRR8697276	14
SRR8697452	14
SRR8697284	14
SRR8697386	14
SRR8697434	14
SRR8697468	14
SRR8697282	14
SRR8697316	14
SRR8697421	14
SRR8697360	14
SRR8697508	14
SRR8697507	14
SRR8697495	14
SRR8697268	14
SRR8697299	14
SRR8697349	14
SRR8697478	14
SRR8697381	14
HSC003	-1
SRR8068054	-1
SRR8068023	-1
SRR12825232	15
SRR8697327	15
SRR3925773	15
SRR8068039	15
SRR8068044	15
SRR8068037	15
SRR8068053	15
SRR8068035	15
SRR8068052	15
SRR8068016	15
SRR12825244	16
SRR12825212	16
SRR8697295	16
SRR12825213	16
SRR12825211	16
ERR1938064	16
SRR8697462	16
SRR11235422	16
SRR8697480	16
SRR8697274	16
SRR3925747	17
SRR5239769	17
ERR1938080	17
SRR8697419	17
SRR5239768	17
SRR5239767	17
SRR5239766	17
ERR1938067	17
ERR1938066	17
ERR1938083	17
ERR1938082	17
SRR12825196	17
SRR12825195	17
SRR8068046	17
SRR8068056	17
SRR14844979	17
SRR8697448	-1
SRR8068045	18
SRR12825238	18
SRR12825263	18
SRR12825230	18
SRR12825229	18
SRR3925769	18
SRR8697335	18
SRR12704635	18
SRR12704634	18
ERR1938062	19
SRR5239764	19
SRR2982715	19
SRR3925748	19
SRR12825256	19
SRR2982717	19
SRR12704637	19
SRR12825251	19
SRR12825242	19
SRR12825260	19
SRR14844978	19
ERR4669789	19
ERR4669784	19
ERR4669795	19
SRR8697392	19
SRR10725597	19
SRR8697440	19
SRR8697273	19
SRR8697471	19
SRR8697267	19
SRR8068051	19
SRR8697502	19
SRR8697403	19
SRR8697347	19
SRR12825265	19
SRR8697356	19
SRR8697280	19
SRR12825250	19
SRR12825243	19
SRR8697400	-1
SRR12825266	20
ERR1938073	20
ERR1938075	20
ERR1938076	20
ERR1938074	20
SRR12825234	21
SRR8068042	21
SRR8068013	21
SRR8068050	21
SRR8068043	21
SRR8068028	22
SRR8068038	22
SRR8068032	22
SRR8068019	22
SRR8068012	22
SRR8697344	22
SRR8697338	22
SRR8697476	22
SRR8697430	22
SRR8697393	22
SRR8697293	22
SRR8697438	22
SRR8697404	22
SRR8697337	22
SRR8697491	22
SRR8697307	22
ERR1938052	23
ERR1938048	23
SRR8068024	23
SRR8697311	23
SRR8697294	23
SRR8697292	23
SRR8697399	23
SRR8697309	23
SRR8697339	23
SRR8697467	23
SRR8697323	23
SRR8697332	23
SRR8697501	23
SRR8697325	23
SRR8697435	23
SRR8697328	23
SRR8697355	23
SRR8697363	23
SRR8697482	23
SRR8697310	23
SRR8697322	23
SRR8697359	23
SRR8697369	23
SRR8697481	23
SRR8697455	23
SRR8697370	23
SRR8697382	23
SRR3925741	24
SRR3925739	24
SRR8697503	25
SRR8697429	25
ERR1938063	25
SRR8697402	25
ERR1938056	25
ERR1938059	25
SRR3925756	25
SRR8697395	25
SRR12825241	25
SRR10717941	25
ERR1938089	25
SRR8697431	25
SRR8697371	25
SRR8697378	25
SRR8697500	25
SRR8697300	25
SRR8697436	25
SRR3925745	25
SRR3925735	25
HSC103	26
HSC101	26
ERR1938081	26
ERR1938058	26
SRR12825200	26
SRR12825198	26
SRR12825197	26
SRR12825222	27
ERR1938057	27
SRR12825220	27
SRR12825225	27
SRR12825226	27
SRR8697412	27
SRR12825254	27
SRR12825224	27
SRR12825223	27
SRR3925743	27
SRR3925732	27
SRR3925742	27
SRR5239765	27
ERR1938044	27
SRR3925736	27
SRR12825246	27
SRR12825259	27
SRR14844980	27
SRR11235429	27
SRR3925738	27
SRR12825228	27
SRR12825227	27
SRR12825262	27
SRR12825261	27
SRR8953803	27
SRR3925772	27
SRR3925737	27
SRR8068029	27
SRR10725596	27
HSC073	27
HSC031	27
SRR10725599	27
ERR1938086	27
SRR8697278	27
SRR8697443	27
SRR3925771	27
SRR8697492	27
SRR8697343	27
SRR8697408	27
SRR8697497	27
SRR8697286	27
SRR8697398	27
SRR8697279	27
SRR8697326	27
SRR8697463	27
SRR8697449	27
SRR8697331	27
SRR8697319	27
SRR8697281	27
SRR8697442	27
SRR8697365	27
SRR12825264	-1
